Name,Current Price,S3,S2,S1,Pivot,R1,R2,R3
AROGRANITE,54.25,51.5,52.75,53.5,54.75,55.5,56.75,57.5
ARROWGREEN,444.35,411.23,423.62,433.98,446.37,456.73,469.12,479.48
ARSHIYA,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95
ARSSINFRA,22.45,20.43,21.22,21.83,22.62,23.23,24.02,24.63
ARTEMISMED,184.9,173.1,176.8,180.85,184.55,188.6,192.3,196.35
ARTNIRMAN,65.0,62.33,63.67,64.33,65.67,66.33,67.67,68.33
ARVEE,224.35,221.02,221.68,223.02,223.68,225.02,225.68,227.02
ARVIND,313.95,296.77,304.38,309.17,316.78,321.57,329.18,333.97
ARVINDFASN,475.9,449.5,460.3,468.1,478.9,486.7,497.5,505.3
ARVSMART,741.7,698.8,715.1,728.4,744.7,758.0,774.3,787.6
ASAHIINDIA,606.95,580.38,587.42,597.18,604.22,613.98,621.02,630.78
ASAHISONG,384.0,307.4,327.7,355.85,376.15,404.3,424.6,452.75
ASAL,822.65,769.27,790.68,806.67,828.08,844.07,865.48,881.47
ASALCBR,538.15,513.03,524.52,531.33,542.82,549.63,561.12,567.93
ASCOM,263.8,263.8,263.8,263.8,263.8,263.8,263.8,263.8
ASHAPURMIN,334.15,317.27,323.78,328.97,335.48,340.67,347.18,352.37
ASHIANA,387.7,356.08,366.97,377.33,388.22,398.58,409.47,419.83
ASHIMASYN,22.15,20.1,20.75,21.45,22.1,22.8,23.45,24.15
ASHOKA,174.95,171.35,172.75,173.85,175.25,176.35,177.75,178.85
ASHOKAMET,18.2,18.12,18.13,18.17,18.18,18.22,18.23,18.27
ASHOKLEY,185.0,169.4,173.4,179.2,183.2,189.0,193.0,198.8
ASIANENE,279.9,262.6,269.7,274.8,281.9,287.0,294.1,299.2
ASIANHOTNR,146.85,146.77,146.78,146.82,146.83,146.87,146.88,146.92
ASIANPAINT,2844.15,2786.92,2811.98,2828.07,2853.13,2869.22,2894.28,2910.37
ASIANTILES,62.7,60.58,61.37,62.03,62.82,63.48,64.27,64.93
ASKAUTOLTD,307.75,288.63,297.32,302.53,311.22,316.43,325.12,330.33
ASLIND,56.05,56.05,56.05,56.05,56.05,56.05,56.05,56.05
ASMS,25.05,25.05,25.05,25.05,25.05,25.05,25.05,25.05
ASPINWALL,295.7,261.05,275.7,285.7,300.35,310.35,325.0,335.0
ASPIRE,101.25,91.5,95.75,98.5,102.75,105.5,109.75,112.5
ASTEC,1219.6,1129.37,1164.73,1192.17,1227.53,1254.97,1290.33,1317.77
ASTERDM,358.85,326.33,337.22,348.03,358.92,369.73,380.62,391.43
ASTRAL,2039.75,1944.73,1965.12,2002.43,2022.82,2060.13,2080.52,2117.83
ASTRAMICRO,710.5,686.57,696.83,703.67,713.93,720.77,731.03,737.87
ASTRAZEN,5425.8,5149.45,5242.4,5334.1,5427.05,5518.75,5611.7,5703.4
ASTRON,23.85,23.85,23.85,23.85,23.85,23.85,23.85,23.85
ATALREAL,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3
ATAM,195.45,180.75,185.45,190.45,195.15,200.15,204.85,209.85
ATFL,758.4,689.43,707.57,732.98,751.12,776.53,794.67,820.08
ATGL,919.15,906.83,912.42,915.78,921.37,924.73,930.32,933.68
ATL,58.85,55.87,57.28,58.07,59.48,60.27,61.68,62.47
ATLANTAA,30.9,27.83,29.17,30.03,31.37,32.23,33.57,34.43
ATMASTCO,227.2,173.4,187.2,207.2,221.0,241.0,254.8,274.8
ATUL,5929.4,5725.93,5800.47,5864.93,5939.47,6003.93,6078.47,6142.93
ATULAUTO,527.8,503.35,514.8,521.3,532.75,539.25,550.7,557.2
AUBANK,599.8,578.92,588.53,594.17,603.78,609.42,619.03,624.67
AURDIS,288.35,258.32,266.98,277.67,286.33,297.02,305.68,316.37
AURIONPRO,2510.25,2281.17,2376.08,2443.17,2538.08,2605.17,2700.08,2767.17
AUROIMPEX,85.1,81.13,83.07,84.08,86.02,87.03,88.97,89.98
AUROPHARMA,1131.3,1077.53,1090.77,1111.03,1124.27,1144.53,1157.77,1178.03
AURUM,145.55,136.45,139.25,142.4,145.2,148.35,151.15,154.3
AURUMPP,70.75,65.75,68.05,69.4,71.7,73.05,75.35,76.7
AUSOMENT,94.55,89.1,90.55,92.55,94.0,96.0,97.45,99.45
AUTOAXLES,1869.75,1795.88,1824.22,1846.98,1875.32,1898.08,1926.42,1949.18
AUTOBEES,224.7,217.08,220.33,222.51,225.76,227.94,231.19,233.37
AUTOIETF,22.47,21.41,21.92,22.19,22.7,22.97,23.48,23.75
AUTOIND,123.9,117.4,120.4,122.15,125.15,126.9,129.9,131.65
AVADHSUGAR,586.9,559.93,572.57,579.73,592.37,599.53,612.17,619.33
AVALON,520.7,500.95,510.4,515.55,525.0,530.15,539.6,544.75
AVANTIFEED,522.45,510.02,513.88,518.17,522.03,526.32,530.18,534.47
AVG,545.2,509.72,522.13,533.67,546.08,557.62,570.03,581.57
AVONMORE,110.95,105.3,107.65,109.3,111.65,113.3,115.65,117.3
AVPINFRA,87.8,81.87,83.93,85.87,87.93,89.87,91.93,93.87
AVROIND,132.15,123.87,127.48,129.82,133.43,135.77,139.38,141.72
AVSL,149.75,149.75,149.75,149.75,149.75,149.75,149.75,149.75
AVTNPL,87.45,85.43,86.22,86.83,87.62,88.23,89.02,89.63
AWHCL,509.7,495.8,501.4,505.55,511.15,515.3,520.9,525.05
AWL,342.85,336.48,339.42,341.13,344.07,345.78,348.72,350.43
AXISBANK,1130.3,1103.4,1113.2,1121.75,1131.55,1140.1,1149.9,1158.45
AXISBNKETF,489.78,483.6,486.3,488.04,490.74,492.48,495.18,496.92
AXISBPSETF,11.67,11.62,11.64,11.65,11.67,11.68,11.7,11.71
AXISCADES,635.95,599.95,613.95,624.95,638.95,649.95,663.95,674.95
AXISCETF,104.63,103.29,103.89,104.26,104.86,105.23,105.83,106.2
AXISGOLD,61.72,60.38,60.72,61.22,61.56,62.06,62.4,62.9
AXISHCETF,121.61,119.96,120.32,120.97,121.33,121.98,122.34,122.99
AXISILVER,82.63,81.58,81.9,82.26,82.58,82.94,83.26,83.62
AXISNIFTY,241.51,235.36,237.8,239.66,242.1,243.96,246.4,248.26
AXISTECETF,354.47,337.29,343.2,348.83,354.74,360.37,366.28,371.91
AXITA,23.35,22.8,23.05,23.2,23.45,23.6,23.85,24.0
AXSENSEX,74.42,71.99,73.12,73.77,74.9,75.55,76.68,77.33
AYMSYNTEX,94.5,91.25,92.8,93.65,95.2,96.05,97.6,98.45
AZAD,1374.75,1314.58,1338.32,1356.53,1380.27,1398.48,1422.22,1440.43
BABAFP,57.8,55.28,55.97,56.88,57.57,58.48,59.17,60.08
BAFNAPH,86.0,79.07,82.03,84.02,86.98,88.97,91.93,93.92
BAGFILMS,8.55,8.48,8.52,8.53,8.57,8.58,8.62,8.63
BAHETI,185.9,180.23,181.37,183.63,184.77,187.03,188.17,190.43
BAIDFIN,21.75,20.68,21.02,21.38,21.72,22.08,22.42,22.78
BAJAJ-AUTO,8974.3,8547.18,8640.87,8807.58,8901.27,9067.98,9161.67,9328.38
BAJAJCON,230.1,219.1,222.7,226.4,230.0,233.7,237.3,241.0
BAJAJELEC,938.3,921.25,928.0,933.15,939.9,945.05,951.8,956.95
BAJAJFINSV,1597.35,1496.92,1537.68,1567.52,1608.28,1638.12,1678.88,1708.72
BAJAJHCARE,327.35,318.88,322.22,324.78,328.12,330.68,334.02,336.58
BAJAJHIND,34.1,32.27,32.93,33.52,34.18,34.77,35.43,36.02
BAJAJHLDNG,8146.65,7899.77,7989.88,8068.27,8158.38,8236.77,8326.88,8405.27
BAJEL,277.55,252.83,262.42,269.98,279.57,287.13,296.72,304.28
BAJFINANCE,6731.2,6306.63,6499.07,6615.13,6807.57,6923.63,7116.07,7232.13
BALAJITELE,80.35,74.6,75.75,78.05,79.2,81.5,82.65,84.95
BALAMINES,2221.35,2154.97,2182.48,2201.92,2229.43,2248.87,2276.38,2295.82
BALAXI,585.0,553.25,564.0,574.5,585.25,595.75,606.5,617.0
BALKRISHNA,24.8,24.13,24.27,24.53,24.67,24.93,25.07,25.33
BALKRISIND,2375.8,2316.3,2338.5,2357.15,2379.35,2398.0,2420.2,2438.85
BALMLAWRIE,277.15,259.33,264.82,270.98,276.47,282.63,288.12,294.28
BALPHARMA,100.3,96.67,97.53,98.92,99.78,101.17,102.03,103.42
BALRAMCHIN,390.8,374.73,379.87,385.33,390.47,395.93,401.07,406.53
BANARBEADS,93.3,90.6,91.8,92.55,93.75,94.5,95.7,96.45
BANARISUG,2606.15,2486.3,2533.15,2569.65,2616.5,2653.0,2699.85,2736.35
BANCOINDIA,628.85,608.47,614.98,621.92,628.43,635.37,641.88,648.82
BANDHANBNK,184.2,181.0,182.3,183.25,184.55,185.5,186.8,187.75
BANG,54.4,48.83,51.17,52.78,55.12,56.73,59.07,60.68
BANKA,101.5,100.83,101.17,101.33,101.67,101.83,102.17,102.33
BANKBARODA,268.05,260.68,264.02,266.03,269.37,271.38,274.72,276.73
BANKBEES,490.7,483.72,486.83,488.77,491.88,493.82,496.93,498.87
BANKBETF,48.18,47.58,47.84,48.01,48.27,48.44,48.7,48.87
BANKETF,482.56,474.84,478.36,480.46,483.98,486.08,489.6,491.7
